Alex Aiken, {Stanford University}, USA 
Matthias Blume, {Google}, USA 
Gilles Barthe, IMDEA Software, Spain 
Lars Birkedal, IT U. of Copenhagen, Denmark 
Hans-J. Boehm, HP Labs, USA 
Avik Chaudhuri, Adobe Systems, USA 
Swarat Chaudhuri, Rice University, USA 
Derek Dreyer, MPI-SWS, Germany 
Michael Emmi, Univ. Paris Diderot, France 
Jérôme Feret, INRIA, France 
Cédric Fournet, Microsoft Research, UK 
Daniel Frampton, Australian National U., Australia 
Simon Gay, University of Glasgow, UK 
Giorgio Ghelli, Università di Pisa, Italy 
Benjamin Goldberg, New York University, USA 
Robert Grimm, New York University, USA 
Vineet Gupta, Google, USA 
Chris Hawblitzel, Microsoft Research, USA 
Jonathan Hayman, INRIA, France 
Michael Hicks, University of Maryland, USA 
Martin Hofmann, Ludwig-Maximilians U., Germany 
Ranjit Jhala, University of California, San Diego, USA 
K. Rustan M. Leino, Microsoft Research, USA 
Sorin Lerner, University of California, San Diego, USA 
Francesca Levi, Università di Pisa, Italy 
Yitzhak Mandelbaum, SEI-CMU, USA 
Damien Massé, U. de Bretagne Occidentale, France 
Isabella Mastroeni, Università di Verona, Italy 
Maged M. Michael, IBM Research, USA 
Jan Midtgaard, Aarhus University, Denmark	
Todd Millstein, Univ. of California, Los Angeles, USA 
Greg Morrisett, Harvard University, USA 
Leonardo de Moura, Microsoft Research, USA 
Andrew C. Myers, Cornell University, USA 
George Necula, Univ. of California, Berkeley, USA 
Tamiya Onodera, IBM Research, Japan 
Jens Palsberg, Univ. of California, Los Angeles, USA 
Prakash Panangaden, McGill University, Canada
Erez Petrank, Technion, Israel 
Andreas Podelski, University of Freiburg, Germany 
François Pottier, INRIA, France 
Maurizio Proietti, CNR, Italy 
German Puebla, Univ. Politecnica de Madrid, Spain 
Martin C. Rinard, MIT, USA 
Xavier Rival, INRIA, France 
Sukyoung Ryu, KAIST, Korea 
Francesca Scozzari, Univ. di Chieti-Pescara, Italy
Jeremy G. Siek, Univ. of Colorado, Boulder, USA
Armando Solar-Lezama, MIT, USA 
James Stichnoth, Intel, USA 
Eijiro Sumii, Tohoku University, Japan 
Tachio Terauchi, Nagoya University, Japan 
Ashish Tiwari, SRI International, USA 
Viktor Vafeiadis, MPI-SWS, Germany 
David Van Horn, Northeastern University, USA 
Arnaud Venet, NASA Ames Research Center, USA 
Janis Voigtländer, University of Bonn, Germany 
Mitchell Wand, Northeastern University, USA 
Eran Yahav, Technion, Israel 
Francesco Zappa Nardelli, INRIA, France
